"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Robles, Victor",645302,120,WSH,RF,20,13,12.0,,30.9
"Buxton, Byron",621439,142,MIN,CF,23,148,113.0,3.95,30.5
"Sierra, Magneuris",642423,138,STL,RF,21,30,15.0,3.91,30.5
"Engel, Adam",641553,145,CWS,CF,25,118,68.0,4.05,30.4
"Turner, Trea",607208,120,WSH,SS,24,188,98.0,4.09,30.3
"Hamilton, Billy",571740,113,CIN,CF,26,260,114.0,3.9,30.1
"Rosario, Amed",642708,121,NYM,SS,21,68,26.0,4.04,30.1
"DeShields, Delino",592261,140,TEX,LF,24,152,83.0,3.97,30.0
"Smith, Mallex",605480,139,TB,CF,24,122,62.0,4.01,30.0
"Zimmer, Bradley",605548,114,CLE,CF,24,117,58.0,4.07,30.0
"Adams, Lane",572669,144,ATL,,27,43,19.0,4.15,29.9
"Broxton, Keon",542979,158,MIL,CF,27,139,43.0,4.06,29.9
"Cordero, Franchy",614173,135,SD,CF,22,35,11.0,4.04,29.8
"Bourjos, Peter",488721,139,TB,LF,30,91,33.0,4.06,29.8
"Bader, Harrison",664056,138,STL,CF,23,33,16.0,4.09,29.8
"Davis, Rajai",434658,111,BOS,CF,36,161,43.0,4.03,29.6
"Barreto, Franklin",620439,133,OAK,SS,21,16,2.0,,29.4
"Strange-Gordon, Dee",543829,146,MIA,2B,29,369,122.0,3.89,29.4
"Hernández, César",514917,143,PHI,2B,27,272,80.0,4.14,29.4
"Margot, Manuel",622534,135,SD,CF,22,195,41.0,4.17,29.4
"Fisher, Derek",605233,117,HOU,LF,23,63,23.0,4.07,29.4
"Negrón, Kristopher",502117,109,AZ,SS,31,14,3.0,,29.4
"Tapia, Raimel",606132,115,COL,RF,23,79,18.0,4.06,29.3
"Calixte, Orlando",593525,137,SF,LF,25,16,3.0,4.21,29.3
"Trout, Mike",545361,108,LAA,CF,25,175,22.0,4.25,29.3
"Kiermaier, Kevin",595281,139,TB,CF,27,172,27.0,4.02,29.3
"Story, Trevor",596115,115,COL,SS,24,154,47.0,4.19,29.3
