"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
"Buxton, Byron",621439,142,MIN,CF,22,101,73.0,4.01,30.7
"Hamilton, Billy",571740,113,CIN,CF,25,182,97.0,3.96,30.2
"Mondesi, Adalberto",609275,118,KC,2B,20,45,33.0,4.0,30.2
"Turner, Trea",607208,120,WSH,CF,23,123,55.0,4.06,30.0
"Margot, Manuel",622534,135,SD,CF,21,25,9.0,4.11,30.0
"Quinn, Roman",596451,143,PHI,LF,23,27,13.0,,30.0
"Brito, Sócrates",593647,109,AZ,CF,23,33,17.0,4.13,29.9
"DeShields, Delino",592261,140,TEX,CF,23,87,29.0,4.13,29.7
"Broxton, Keon",542979,158,MIL,CF,26,81,28.0,4.13,29.7
"Difo, Wilmer",594694,120,WSH,2B,24,31,8.0,4.09,29.6
"Orlando, Paulo",449181,118,KC,RF,30,224,67.0,4.22,29.6
"Strange-Gordon, Dee",543829,146,MIA,2B,28,172,67.0,3.92,29.6
"Story, Trevor",596115,115,COL,SS,23,109,31.0,4.17,29.6
"Gentry, Craig",502226,108,LAA,LF,32,22,6.0,4.19,29.6
"Stubbs, Drew",453211,110,BAL,RF,31,20,7.0,4.06,29.6
"Bourjos, Peter",488721,143,PHI,RF,29,176,45.0,4.11,29.5
"Smith, Mallex",605480,144,ATL,CF,23,94,36.0,4.03,29.5
"Hernández, César",514917,143,PHI,2B,26,277,106.0,4.08,29.5
"Hazelbaker, Jeremy",571757,138,STL,LF,28,82,22.0,4.04,29.5
"Jankowski, Travis",608671,135,SD,CF,25,168,46.0,4.08,29.5
"O'Malley, Shawn",502523,136,SEA,SS,28,94,11.0,4.05,29.4
"Hernández, Teoscar",606192,117,HOU,LF,23,45,6.0,4.16,29.4
"Kiermaier, Kevin",595281,139,TB,CF,26,181,27.0,4.0,29.4
"Ladendorf, Tyler",502285,133,OAK,2B,28,21,2.0,4.21,29.3
"Burns, Billy",542993,118,KC,CF,26,175,29.0,3.91,29.3
"Toles, Andrew",592808,119,LAD,LF,24,70,7.0,4.09,29.3
"Spangenberg, Cory",605486,135,SD,2B,25,29,8.0,4.07,29.3
"Rivera, Yadiel",592680,158,MIL,2B,24,27,1.0,4.25,29.2
"Lake, Junior",516809,141,TOR,RF,26,24,1.0,4.19,29.1
"Marisnick, Jake",545350,117,HOU,CF,25,114,17.0,4.22,29.1
"Díaz, Aledmys",649557,138,STL,SS,25,212,19.0,4.15,29.1
"d'Arnaud, Chase",488818,144,ATL,SS,29,102,,4.06,29.1
"Reed, Michael",605439,158,MIL,CF,23,14,2.0,4.33,29.1
"García, Avisaíl",541645,145,CWS,DH,25,185,14.0,4.33,29.1
"McCutchen, Andrew",457705,134,PIT,CF,29,177,9.0,4.31,29.1
"Taylor, Chris",621035,119,LAD,2B,25,29,,4.25,29.1
"Merrifield, Whit",593160,118,KC,2B,27,140,17.0,4.2,29.0
"Cain, Lorenzo",456715,118,KC,CF,30,187,25.0,4.23,29.0
"Hernández, Marco",593523,111,BOS,3B,23,39,10.0,4.02,29.0
"Gosselin, Phil",594838,109,AZ,2B,27,101,4.0,4.24,29.0
"Davis, Rajai",434658,114,CLE,CF,35,222,40.0,4.1,28.9
"Owings, Chris",572008,109,AZ,SS,24,215,4.0,4.1,28.9
"Trout, Mike",545361,108,LAA,CF,24,246,15.0,4.24,28.9
"Robinson, Shane",453203,108,LAA,LF,31,54,2.0,4.22,28.9
"Presley, Alex",502100,116,DET,RF,30,50,1.0,4.1,28.9
"Yelich, Christian",592885,146,MIA,LF,24,285,44.0,4.22,28.9
"Lawrie, Brett",543434,145,CWS,2B,26,139,9.0,4.2,28.9
"Lagares, Juan",501571,121,NYM,CF,27,62,1.0,4.28,28.9
"Marte, Starling",516782,134,PIT,LF,27,235,46.0,4.11,28.9
"Rutledge, Josh",592710,111,BOS,3B,27,26,3.0,4.26,28.9
"Shuck, JB",543776,145,CWS,CF,29,120,,4.04,28.9
"Swanson, Dansby",621020,144,ATL,SS,22,53,6.0,4.11,28.9
"Holt, Tyler",534627,113,CIN,CF,27,92,4.0,4.2,28.9
"Maybin, Cameron",457727,116,DET,CF,29,210,22.0,4.21,28.8
"Báez, Javier",595879,112,CHC,2B,23,206,14.0,4.18,28.8
"Bonifácio, Emilio",466988,144,ATL,LF,31,17,7.0,4.02,28.8
"Dyson, Jarrod",502481,118,KC,CF,31,169,44.0,4.08,28.8
"Gómez, Carlos",460576,140,TEX,CF,30,156,15.0,4.27,28.8
"Peraza, José",606299,113,CIN,SS,22,111,8.0,4.19,28.8
"Polanco, Jorge",593871,142,MIN,SS,22,88,10.0,4.12,28.8
"Altherr, Aaron",571437,143,PHI,RF,25,85,1.0,4.38,28.8
"Anderson, Tim",641313,145,CWS,SS,23,192,26.0,4.21,28.8
"Haniger, Mitch",571745,109,AZ,CF,25,36,,4.24,28.8
"Pirela, José",517369,135,SD,2B,26,17,1.0,4.26,28.8
"Realmuto, J.T.",592663,146,MIA,C,25,243,6.0,4.19,28.8
"Peterson, Jace",607054,144,ATL,2B,26,188,22.0,4.18,28.8
"Souza Jr., Steven",519306,139,TB,RF,27,144,8.0,4.22,28.7
"Nimmo, Brandon",607043,121,NYM,LF,23,31,4.0,4.15,28.7
"Taylor, Michael A.",572191,120,WSH,CF,25,84,3.0,4.18,28.7
"Gardner, Brett",458731,147,NYY,LF,32,290,25.0,4.04,28.7
"Goeddel, Tyler",595963,143,PHI,LF,23,100,2.0,4.3,28.6
"Pham, Tommy",502054,138,STL,CF,28,56,1.0,4.36,28.6
"Wendle, Joey",621563,133,OAK,2B,26,50,,4.09,28.6
"Benintendi, Andrew",643217,111,BOS,LF,21,58,1.0,4.19,28.6
"Desmond, Ian",435622,140,TEX,CF,30,309,19.0,4.31,28.6
"Dahl, David",621311,115,COL,LF,22,101,12.0,4.13,28.5
"Pollock, AJ",572041,109,AZ,CF,28,16,,,28.5
"Grichuk, Randal",545341,138,STL,CF,24,159,2.0,4.32,28.5
"Renda, Tony",573113,113,CIN,2B,25,31,2.0,4.28,28.5
"Bryant, Kris",592178,112,CHC,3B,24,246,1.0,4.24,28.5
"Iglesias, Jose",578428,116,DET,SS,26,260,6.0,4.09,28.5
"Saladino, Tyler",573135,145,CWS,2B,26,144,2.0,4.38,28.5
"Russell, Addison",608365,112,CHC,SS,22,224,2.0,4.21,28.5
"Pence, Hunter",452254,137,SF,RF,33,207,1.0,4.2,28.5
"Hernández, Gorkys",491676,137,SF,CF,28,19,,4.28,28.5
"Ahmed, Nick",605113,109,AZ,SS,26,135,1.0,4.29,28.5
"Tapia, Raimel",606132,115,COL,CF,22,16,2.0,,28.5
"Williamson, Mac",607776,137,SF,RF,25,44,,4.38,28.5
"Robertson, Daniel",543706,136,SEA,LF,30,13,,,28.5
"Hoying, Jared",592419,140,TEX,LF,27,21,1.0,,28.5
"Marte, Ketel",606466,136,SEA,SS,22,225,7.0,4.22,28.4
"Hicks, Aaron",543305,147,NYY,RF,26,144,5.0,4.17,28.4
"Semien, Marcus",543760,133,OAK,SS,25,212,2.0,4.22,28.4
"Rosario, Eddie",592696,142,MIN,LF,24,137,5.0,4.15,28.4
"Pérez, Hernán",541650,158,MIL,3B,25,158,2.0,4.3,28.4
"Altuve, Jose",514888,117,HOU,2B,26,298,49.0,4.16,28.4
"Springer, George",543807,117,HOU,RF,26,256,15.0,4.3,28.4
"Marte, Jefry",527043,108,LAA,1B,25,108,3.0,4.39,28.4
"Jones, JaCoby",592444,116,DET,3B,24,13,,,28.4
"Culberson, Charlie",518586,119,LAD,2B,27,33,,4.22,28.4
"Heredia, Guillermo",628338,136,SEA,LF,25,47,,4.26,28.4
"Thompson, Trayce",572204,119,LAD,CF,25,109,1.0,4.28,28.3
"Bogaerts, Xander",593428,111,BOS,SS,23,326,9.0,4.19,28.3
"Segura, Jean",516416,109,AZ,2B,26,342,26.0,4.14,28.3
"Duvall, Adam",594807,113,CIN,LF,27,191,,4.36,28.3
"Goodwin, Brian",571718,120,WSH,RF,25,20,2.0,,28.3
"Eaton, Adam",594809,145,CWS,RF,27,342,14.0,4.07,28.3
"Fryer, Eric",518700,134,PIT,C,30,59,1.0,4.25,28.3
"Bethancourt, Christian",542194,135,SD,C,24,79,,4.35,28.3
"Fowler, Dexter",451594,112,CHC,CF,30,216,4.0,4.26,28.3
"Szczur, Matt",519333,112,CHC,LF,26,82,,4.15,28.3
"Bregman, Alex",608324,117,HOU,3B,22,67,2.0,4.31,28.3
"Naquin, Tyler",571980,114,CLE,CF,25,149,,4.25,28.2
"Florimón, Pedro",465753,134,PIT,2B,29,10,,,28.3
"Schebler, Scott",594988,113,CIN,RF,25,116,,4.26,28.2
"Almonte, Abraham",501659,114,CLE,RF,27,93,1.0,4.25,28.2
"Blanco, Grégor",453923,137,SF,RF,32,103,2.0,4.21,28.2
"Schimpf, Ryan",572114,135,SD,2B,28,90,,4.27,28.2
"Carrera, Ezequiel",485567,141,TOR,RF,29,152,1.0,4.15,28.2
"Holt, Brock",571788,111,BOS,LF,28,164,,4.18,28.2
"Kelly, Ty",571841,121,NYM,LF,27,23,,,28.2
"Crisp, Coco",424825,114,CLE,LF,36,194,,4.29,28.2
"Freeman, Mike",502273,136,SEA,,28,12,,,28.2
"Upton, B.J.",425834,141,TOR,LF,31,185,8.0,4.39,28.2
"Herrmann, Chris",543302,109,AZ,C,28,60,,4.16,28.2
"Contreras, Willson",575929,112,CHC,C,24,142,,4.23,28.2
"Ortega, Rafael",542364,108,LAA,LF,25,108,,4.22,28.2
"Rickard, Joey",572073,110,BAL,RF,25,112,,4.17,28.2
"Puig, Yasiel",624577,119,LAD,RF,25,164,3.0,4.31,28.1
"Bourn, Michael",456422,110,BAL,CF,33,178,1.0,4.09,28.1
"Gregorius, Didi",544369,147,NYY,SS,26,249,1.0,4.23,28.1
"Pillar, Kevin",607680,141,TOR,CF,27,254,6.0,4.29,28.1
"Almora Jr., Albert",546991,112,CHC,CF,22,63,,4.37,28.1
"Hanson, Alen",593700,134,PIT,2B,23,14,2.0,,28.1
"Peralta, David",444482,109,AZ,RF,28,80,2.0,4.26,28.1
"Rendon, Anthony",543685,120,WSH,3B,26,229,1.0,4.25,28.1
"Rosales, Adam",489267,135,SD,3B,33,68,,4.34,28.1
"Iribarren, Hernan",454975,113,CIN,CF,32,26,1.0,4.24,28.1
"Cunningham, Todd",592239,108,LAA,LF,27,13,,,28.1
"Kepler, Max",596146,142,MIN,RF,23,185,8.0,4.22,28.1
"Tomlinson, Kelby",605509,137,SF,2B,26,56,,4.18,28.1
"Torreyes, Ronald",591720,147,NYY,3B,23,99,,4.3,28.1
"Burriss, Emmanuel",502034,143,PHI,,31,18,,,28.1
"Jackson, Austin",457706,145,CWS,CF,29,72,,4.43,28.1
"Gamel, Ben",592325,136,SEA,RF,24,24,,,28.1
"Fuentes, Rey",571681,118,KC,RF,25,26,3.0,,28.0
"Correa, Carlos",621043,117,HOU,SS,21,244,5.0,4.26,28.0
"Heisey, Chris",502317,120,WSH,LF,31,42,,4.36,28.0
"Jones, Adam",430945,110,BAL,CF,30,250,3.0,4.4,28.0
"Rasmus, Colby",458675,117,HOU,LF,29,91,,4.33,28.0
"Beckham, Tim",542921,139,TB,SS,26,80,,4.31,28.0
"Mahtook, Mikie",543484,139,TB,CF,26,57,,4.36,28.0
"Buss, Nick",502544,108,LAA,LF,29,38,,4.3,28.0
"Núñez, Eduardo",456488,137,SF,3B,29,272,36.0,4.16,28.0
"Villar, Jonathan",542340,158,MIL,SS,25,280,2.0,4.18,28.0
"Romine, Andrew",461865,116,DET,CF,30,94,,4.33,28.0
"Aviles, Mike",449107,116,DET,RF,35,83,,4.35,28.0
"Myers, Wil",571976,135,SD,1B,25,269,3.0,4.35,28.0
"García, Leury",544725,145,CWS,CF,25,24,,4.1,28.0
"Ozuna, Marcell",542303,146,MIA,CF,25,252,,4.39,27.9
"Harrison, Josh",543281,134,PIT,2B,28,217,1.0,4.23,27.9
"Betts, Mookie",605141,111,BOS,RF,23,344,10.0,4.23,27.9
"Rua, Ryan",607387,140,TEX,LF,26,97,,4.46,27.9
"Guyer, Brandon",446386,114,CLE,LF,30,144,,4.39,27.9
"Weeks, Jemile",457789,135,SD,2B,29,23,,,27.9
"Arcia, Oswaldo",542455,135,SD,RF,25,67,,4.28,27.9
"Eibner, Brett",518649,133,OAK,RF,27,84,,4.38,27.9
"Ellsbury, Jacoby",453056,147,NYY,CF,32,256,10.0,4.29,27.9
"Ramírez, José",608070,114,CLE,3B,23,336,1.0,4.24,27.9
"Barnes, Brandon",488681,115,COL,LF,30,45,,4.3,27.9
"Muncy, Max",571970,133,OAK,2B,25,50,1.0,4.29,27.9
"Span, Denard",452655,137,SF,CF,32,297,2.0,4.28,27.9
"Inciarte, Ender",542255,144,ATL,CF,25,289,2.0,4.12,27.9
"Gillespie, Cole",502261,146,MIA,,32,17,1.0,,27.9
"Duffy, Matt",622110,139,TB,3B,25,165,,4.38,27.8
"Parker, Jarrett",592620,137,SF,RF,27,54,,4.28,27.9
"Reynolds, Matt",608703,121,NYM,SS,25,42,,4.48,27.8
"Sánchez, Yolmer",570560,145,CWS,2B,24,57,,4.28,27.8
"Severino, Pedro",600474,120,WSH,C,22,18,,4.19,27.8
"Suzuki, Ichiro",400085,146,MIA,RF,42,189,,3.99,27.8
"Reimold, Nolan",460099,110,BAL,LF,32,79,,4.39,27.8
"Aybar, Erick",430947,116,DET,SS,32,212,2.0,4.26,27.8
"Collins, Tyler",607385,116,DET,CF,26,48,,4.3,27.8
"Martínez, José",500874,138,STL,LF,27,11,,,27.8
"Grossman, Robbie",543257,142,MIN,LF,26,132,,4.29,27.8
"Sanó, Miguel",593934,142,MIN,3B,23,123,,4.51,27.8
"Miller, Brad",543543,139,TB,SS,26,220,1.0,4.31,27.8
"Infante, Omar",408299,118,KC,2B,34,61,,4.27,27.8
"Brentz, Bryce",518490,111,BOS,LF,27,33,,4.47,27.8
"Frazier, Adam",624428,134,PIT,2B,24,70,,4.23,27.8
"Martinez, Michael",492841,114,CLE,2B,33,49,,4.22,27.7
"Pagán, Ángel",434636,137,SF,LF,34,229,1.0,4.17,27.7
"Blackmon, Charlie",453568,115,COL,CF,29,254,1.0,4.2,27.7
"Giavotella, Johnny",543213,108,LAA,2B,28,170,,4.29,27.7
"Dozier, Brian",572821,142,MIN,2B,29,223,3.0,4.27,27.7
"Young, Chris",455759,111,BOS,LF,32,64,,4.34,27.7
"Heyward, Jason",518792,112,CHC,RF,26,260,,4.3,27.7
"Arcia, Orlando",606115,158,MIL,SS,21,99,,4.37,27.7
"Smolinski, Jake",519295,133,OAK,CF,27,121,,4.34,27.7
"Cardullo, Stephen",506924,115,COL,1B,28,17,,,27.7
"Dietrich, Derek",518618,146,MIA,2B,26,173,,4.23,27.7
"Forsythe, Logan",523253,139,TB,2B,29,181,,4.43,27.7
"Kemp, Tony",643393,117,HOU,LF,24,44,,4.15,27.7
"Garcia, Greg",594824,138,STL,SS,26,110,,4.22,27.7
"Gose, Anthony",543238,116,DET,CF,25,34,1.0,4.18,27.7
"Santana, Danny",542454,142,MIN,CF,25,108,3.0,4.23,27.7
"Dickerson, Alex",543105,135,SD,LF,26,113,,4.3,27.7
"Odor, Rougned",596059,140,TEX,2B,22,238,3.0,4.19,27.7
"Blash, Jabari",518466,135,SD,RF,26,27,,4.56,27.7
"Espinosa, Danny",457787,120,WSH,SS,29,151,1.0,4.28,27.7
"Campbell, Eric",493472,121,NYM,1B,29,28,,4.49,27.7
"Reyes, José",408314,121,NYM,3B,33,104,1.0,4.19,27.7
"Weeks Jr., Rickie",430001,109,AZ,LF,33,72,1.0,4.3,27.7
"Hechavarría, Adeiny",588751,146,MIA,SS,27,232,,4.36,27.6
"Pinder, Chad",640461,133,OAK,2B,24,26,,4.41,27.6
"Sardinas, Luis",596143,135,SD,SS,23,74,,4.33,27.6
"Swihart, Blake",596119,111,BOS,LF,24,25,,,27.6
"Rivera, T.J.",608061,121,NYM,2B,27,53,,4.34,27.6
"Jennings, Desmond",457775,139,TB,LF,29,80,1.0,4.33,27.6
"Lough, David",518953,143,PHI,LF,30,32,,4.23,27.6
"Cowart, Kaleb",592230,108,LAA,2B,24,35,,,27.6
"Mercer, Jordy",474568,134,PIT,SS,29,249,,4.33,27.6
"De Aza, Alejandro",457477,121,NYM,CF,32,77,,4.29,27.6
